investor_id,transaction_date,amfi_code,transaction_type,amount_inr,kyc_status
INV003054,2024-01-01,119092,SIP,1834,Verified
INV002952,2024-01-01,148567,Redemption,392882,Verified
INV003420,2024-01-01,118636,SIP,912,Verified
INV003436,2024-01-01,118634,SIP,1102,Pending
INV004691,2024-01-01,119094,Lumpsum,8682,Pending
INV001497,2024-01-01,101208,SIP,3295,Verified
INV000786,2024-01-01,101208,SIP,15047,Verified
INV000616,2024-01-01,100016,SIP,933,Verified
INV003670,2024-01-01,119120,SIP,10672,Verified
INV002054,2024-01-01,148567,SIP,1111,Verified
INV002592,2024-01-01,101208,Lumpsum,411860,Verified
INV001023,2024-01-01,118636,SIP,4865,Verified
INV002893,2024-01-01,120843,SIP,8472,Pending
INV000797,2024-01-01,102885,SIP,58257,Verified
INV000368,2024-01-01,118636,Redemption,339882,Verified
INV000548,2024-01-01,119095,SIP,1607,Verified
INV000600,2024-01-01,149322,SIP,20890,Verified
INV004347,2024-01-01,119599,SIP,1862,Verified
INV000437,2024-01-01,120504,SIP,900,Verified
INV000609,2024-01-01,120842,SIP,8493,Verified
INV000428,2024-01-01,118636,SIP,9146,Verified
INV003329,2024-01-01,101207,Lumpsum,295055,Verified
INV000968,2024-01-01,100025,Lumpsum,497564,Verified
INV004154,2024-01-01,102885,SIP,1897,Verified
INV000234,2024-01-01,148567,SIP,28094,Verified
INV002885,2024-01-01,148567,Lumpsum,430566,Pending
INV002157,2024-01-01,102885,Lumpsum,112928,Verified
INV001665,2024-01-01,120505,SIP,3322,Verified
INV002328,2024-01-01,120841,SIP,29901,Verified
INV004174,2024-01-01,119599,SIP,57353,Verified
INV004918,2024-01-01,120503,Redemption,153828,Verified
INV000478,2024-01-01,120506,SIP,59382,Verified
INV000467,2024-01-01,119552,SIP,2623,Verified
INV000603,2024-01-01,118636,SIP,2858,Verified
INV004770,2024-01-01,102886,Lumpsum,92031,Verified
INV004648,2024-01-01,118634,SIP,17860,Pending
